,NEAT,SGA,SLM (OLS)
0,205.81167921900487,241.063562656047,0.3230664969960344
1,220.29973671795597,121.3976025400043,0.4574939359954442
2,156.2280682370765,238.2995172119263,0.34673406000365503
3,191.00454388702929,241.46477583688102,0.21503443099936703
4,178.2380657950198,231.17702521803585,0.1340161550033372
5,183.2685829359907,393.28993117497157,0.183402737005963
6,187.2307375790042,401.8636761760572,0.16641270800027996
7,209.9814422369236,120.54448470399075,0.1976536589936586
8,174.66704330401262,234.7992390330619,0.13466017399332486
9,284.245778875018,756.9975878660043,0.25550174500676803
10,184.8214376959877,122.74714217204018,0.36290398401615676
11,200.25552329999482,251.79471973598993,0.38410828100313665
12,203.53177044296172,234.54037849800807,0.15038136999646667
13,191.29232718596904,121.53710984096688,0.1404181790057919
14,232.85855136992177,698.2178928110661,0.10364090999792097
15,214.96647887898143,241.04364629098563,0.35503168299328536
16,241.82508361304644,408.0714487949299,0.1381005429866491
17,190.69153362211364,251.78583868696296,0.30491421397891827
18,180.4010956848797,124.06217661312257,0.12191493700083811
19,190.45477872389893,405.1788877630315,0.8118161299935309
20,187.75974343478447,406.4215215361037,0.1585275969846407
21,187.18966609975905,254.93949680082733,0.209955247992184
22,189.23125581012573,125.58775665107532,0.2740744440088747
23,194.46090666987584,403.3962689789041,0.2995148399786558
24,193.72411242003727,251.68734757699713,0.6145111650403123
25,192.35587105886952,400.0703086419089,0.43312533298740163
26,217.5322845319315,158.4860258648987,0.18918602699704934
27,201.2335907179222,460.21436220098985,8.097914667974692
28,185.83791334707348,257.1549692399858,0.44820563499524724
29,184.09229970592423,256.5378584061109,0.10725281399209052
