,NEAT,SGA,SLM (OLS)
0,2,4,12
1,2,1,25
2,1,4,15
3,2,4,6
4,4,2,8
5,4,9,9
6,2,9,6
7,8,1,6
8,2,2,3
9,15,15,15
10,2,1,8
11,2,4,18
12,3,2,10
13,6,1,6
14,8,15,4
15,5,2,24
16,15,9,8
17,2,4,9
18,1,1,6
19,2,9,10
20,2,9,3
21,2,4,8
22,2,1,5
23,2,9,9
24,5,4,48
25,2,9,8
26,2,1,6
27,2,9,214
28,2,4,21
29,2,4,4
