,NEAT,SGA,SLM (OLS)
0,2,9,6
1,5,2,15
2,2,4,6
3,2,9,9
4,4,15,38
5,7,2,4
6,2,2,81
7,2,1,16
8,2,2,18
9,2,4,8
10,2,1,13
11,3,15,6
12,6,4,4
13,8,9,6
14,7,4,4
15,2,2,6
16,2,1,38
17,9,1,54
18,2,2,26
19,20,2,6
20,2,9,6
21,5,2,22
22,5,9,14
23,2,9,41
24,2,9,7
25,2,2,6
26,2,15,35
27,3,15,54
28,3,2,19
29,2,1,8
