,MLP,NEAT,RF,SGA,SLM (Ensemble),SLM (OLS),SVM
0,0.3714835124201342,0.5079296016420367,0.2863564212655271,0.40877179514450557,0.35479239079995456,0.36769951314337496,0.433589667773576
1,0.48373546489791297,0.5128815610009907,0.17888543819998318,0.399846600927395,0.38299385025936633,0.4247619118170006,0.48373546489791297
2,0.4604345773288535,0.3874691768812641,0.2966479394838265,0.3939657737047553,0.2683069298258831,0.3723263386403787,0.5796550698475775
3,0.41952353926806063,0.3953581305318493,0.1673320053068151,0.3934961588739853,0.27540579540357946,0.4091774822213662,0.4538722287164087
4,0.31622776601683794,0.40749394494176017,0.4266145801540308,0.3955880364040051,0.30189687004042237,0.37688296919886205,0.469041575982343
5,0.46475800154489,0.4594562659863516,0.3,0.40112634409398773,0.3494883560846027,0.39978684522078567,0.469041575982343
6,0.469041575982343,0.5190357409074853,0.2,0.393086992092017,0.3480886076547354,0.3935957177632584,0.34351128074635334
7,0.47958315233127197,0.47338890077768925,0.4242640687119285,0.38606812610179797,0.27479393353443476,0.3748379650464891,0.46475800154489
8,0.48166378315169184,0.5231192332381737,0.17320508075688773,0.4033587233162155,0.3641982185216058,0.39281107236666873,0.4669047011971501
9,0.46475800154489,0.4881625570904207,0.27568097504180444,0.3927688038075405,0.3860181953231361,0.40348083789119893,0.46475800154489
10,0.4732863826479693,0.47227145461637926,0.29325756597230357,0.4011332289423036,0.36900370932749677,0.3935521705579388,0.47116875957558985
11,0.4538722287164087,0.4154096724428409,0.25298221281347033,0.41649176537519567,0.37355187641044324,0.43040742353210115,0.3847076812334269
12,0.458257569495584,0.4610811050593207,0.2792848008753788,0.4005592938317442,0.2824865835613272,0.37693719998149927,0.35213633723318016
13,0.4049691346263318,0.5193827509502218,0.17320508075688773,0.40139850508028857,0.3587038520414798,0.4053143952943159,0.3
14,0.4171330722922842,0.3979472997364115,0.17320508075688773,0.3758411424970803,0.3626666557551502,0.37196660911775314,0.17320508075688773
15,0.4289522117905443,0.41872675231856576,0.38987177379235854,0.39688048010355115,0.3895240220790301,0.28270805463985293,0.3687817782917155
16,0.44944410108488464,0.4104640388958546,0.4669047011971501,0.40694009727506825,0.36210774664882556,0.3955607331405848,0.4626013402488151
17,0.4626013402488151,0.5585353130317797,0.37416573867739417,0.4210259356020653,0.4424529661026376,0.4528798948709921,0.458257569495584
18,0.4538722287164087,0.4667751326225997,0.4753945729601885,0.38371184132193337,0.35957812583619186,0.4099837709725219,0.31304951684997057
19,0.45166359162544856,0.5223716481938014,0.17320508075688773,0.42169199499942905,0.2762668837176005,0.39231584947227943,0.161245154965971
20,0.5,0.4992552707167131,0.3,0.40655666961315773,0.38069077260098994,0.44246704349730487,0.4049691346263318
21,0.458257569495584,0.5176976884044786,0.1673320053068151,0.40461170924666023,0.2824008165742328,0.3299714192756092,0.47116875957558985
22,0.4171330722922842,0.4522940942191204,0.2,0.3718796230666899,0.36402169892282543,0.39748043080720996,0.3492849839314596
23,0.40987803063838396,0.5004555319588914,0.41231056256176607,0.3761429995656696,0.2734189953889951,0.386340360846322,0.4472135954999579
24,0.433589667773576,0.5001503574836104,0.2683281572999748,0.38625061414489825,0.39082478867175086,0.3924810422868123,0.3794733192202055
25,0.4219004621945797,0.44724122874945793,0.161245154965971,0.3800762476078157,0.33124494190029485,0.39927641227838145,0.3346640106136302
26,0.46475800154489,0.5565500414182282,0.4312771730569565,0.3907203443309811,0.3814531978850259,0.3551930524094934,0.47116875957558985
27,0.4626013402488151,0.39099049813132036,0.3924283374069717,0.42700979043939674,0.39581883839899257,0.40281961800757693,0.21447610589527216
28,0.4266145801540308,0.4143109338764595,0.1341640786499874,0.39450101960075185,0.2878842419367845,0.4135180615839141,0.469041575982343
29,0.4381780460041329,0.4375561869683468,0.27568097504180444,0.38184767459524,0.3606764194743249,0.37745847482466277,0.4427188724235731
