,NEAT,SGA,SLM (OLS)
0,2,4,20
1,2,2,6
2,2,1,9
3,5,4,6
4,2,15,5
5,12,4,12
6,8,2,4
7,2,15,6
8,2,9,4
9,2,9,9
10,2,15,3
11,2,2,21
12,4,1,20
13,2,1,12
14,10,15,29
15,2,9,5
16,2,1,12
17,2,1,10
18,2,2,2
19,2,9,22
20,2,15,10
21,2,4,3
22,2,9,16
23,9,4,6
24,5,1,6
25,2,2,4
26,2,2,12
27,2,1,4
28,8,4,4
29,5,1,20
