,NEAT,SGA,SLM (OLS)
0,343.72816235601204,1587.1764415013604,0.4978541409946047
1,372.31305368291214,1603.6373503823415,0.5048359580105171
2,421.17909484449774,292.0768746252288,0.08728450105991215
3,380.33048378909007,1595.2691394307767,0.19032483699265867
4,320.5879593549762,295.5360297575826,0.4367116550565697
5,349.082328503544,586.3733410969144,0.23651533899828792
6,294.5933174567763,1616.4962081072154,0.2831963150529191
7,362.1033179289079,589.1290869960794,0.15802765701664612
8,331.8653650642955,958.8959704064764,0.22303970099892467
9,332.9942104574293,962.5159514704719,0.2321350309648551
10,349.43372509011533,1617.6359201605082,0.190799689036794
11,351.134787568124,961.4464909937815,0.12025872798403725
12,362.2199178421288,1581.5840166866546,0.1605027400655672
13,355.4447721420438,938.5684327289346,0.21117932692868635
14,297.0616318726097,597.6746000381536,0.18578942405292764
15,307.04310572351096,301.5023558472167,0.11896715604234487
16,381.55531258665724,944.7538583343267,0.392690647917334
17,339.8651046906598,302.54884888703236,0.22690576105378568
18,357.9582151932991,1645.7477146900492,0.21213219099445269
19,364.6289834823692,610.7868833870743,0.3951231690007262
20,352.7868969505653,1622.850646000239,0.17106562503613532
21,366.7424267407623,313.1560612480389,1.242683113028761
22,362.2399474302656,974.0113084978657,0.1683822269551456
23,367.45854392898036,314.1402590414509,0.4754030450130813
24,350.54442921391455,308.2631317200139,0.32625486404867843
25,358.7593855432933,970.7473805627669,0.4564540249411948
26,357.282265348651,323.4301773144398,0.23128951602848247
27,346.4484465122223,963.4892528009368,0.10774553898954764
28,346.0251335259527,310.4379186760634,0.08828652102965862
29,397.7029103783425,319.2967337607406,0.6658325879834592
