,NEAT,SGA,SLM (OLS)
0,727.587122299301,3833.1357386401505,1.1416798740974627
1,1084.6563899305183,1347.9464142394718,0.7175810360931791
2,1125.3255712832906,1314.8060635251459,0.43562276201555505
3,1137.893309489882,2770.2830661894986,0.3262908040196635
4,1105.108869893069,1360.8185411993763,1.145199948863592
5,1131.1595797726768,2779.767144567275,0.16502590203890577
6,865.0334092051489,1340.378559474484,0.3123471839935519
7,824.9385988828726,7277.108356022334,0.9018284850171767
8,1146.4334952324862,7296.486250158981,0.5674839379498735
9,1139.0978589770966,2816.7715754952515,0.3245212539914064
10,1104.154245721118,1093.3342309779255,0.6640104390098713
11,710.0080826152698,1831.3943767067394,0.2820216729887761
12,579.8272433458478,2788.924374560418,0.3757503310334869
13,556.4444962594425,1826.290913329285,0.2708036609692499
14,726.1085856135469,1829.4421620558714,0.30559607699979097
15,547.1049729317892,2805.9732717560255,0.16440027602948248
16,735.8345533207757,4661.1381635158905,0.31988460704451427
17,554.3990156913642,889.7614048332325,0.2947937259450555
18,549.9683141849819,4670.706050450099,0.18822529405588284
19,704.6506389001734,2736.682403154846,0.16879618098028004
20,553.6381398394005,1789.2104774473119,0.30050574598135427
21,540.4819831702043,1798.4327858152683,0.21188667695969343
22,659.1211105089751,1801.5343890478252,0.3794430579873733
23,723.1705011702143,1810.8505266637076,0.3822630718932487
24,725.1852402414661,4647.615750143363,0.23158398497616872
25,535.2875895651523,1810.5113474283717,0.6664895889698528
26,641.6308913665125,2751.8612210897845,0.20654213905800134
27,701.1201543384814,1805.7998955453513,0.1967239109799266
28,715.2263582568266,1813.2086095389095,0.2658485019928776
29,595.6086778220488,2739.02669676597,0.8201735070324503
