,NEAT,SGA,SLM (OLS)
0,268.3801496857195,61.55682605213951,18.223927879997063
1,211.54537603195058,26.964141166768968,19.137658828869462
2,363.63590024248697,61.317694692872465,14.577357115922496
3,220.84192221960984,218.46502950636204,28.9946874640882
4,307.7696469097864,27.815620800829493,20.59299456916051
5,207.42760800028918,45.47380752576282,6.3386598019860685
6,306.4339925335371,27.267802624206524,29.818872491654474
7,207.24567568325438,47.152345045644324,24.91982230078429
8,224.91885592398467,230.83963691798272,8.045569220092148
9,208.53313247254118,61.2805666794884,23.436611208948307
10,453.2171866163844,219.8286032390315,22.6687248305534
11,206.64037139847642,219.67306506371824,28.296211970678996
12,422.2789984815172,26.944084899732843,4.283544365724083
13,218.4474504168029,63.136855915014166,15.155258672893979
14,214.14680875494378,47.646949211426545,10.397121919610072
15,284.2381041017943,116.87384901946643,27.914809209876694
16,203.98926131549524,45.617996204528026,42.03636981226737
17,322.09250098856864,61.170114630134776,28.136464921873994
18,283.0661443687859,117.5178735225345,31.654193399241194
19,213.31858850998105,45.68633911246434,12.71455265802797
20,209.41480095480802,62.54016477713594,22.87370335770538
21,338.8184436808806,45.90015874319943,28.04283710126765
22,341.87862803583266,117.89499173191143,41.90476838883478
23,308.2589432451641,117.53444896475412,37.45736144378316
24,364.8217760139378,60.82454387511825,12.929123397450894
25,204.08807930519106,218.95252878492465,9.868274518055841
26,210.32475966279162,45.685034033842385,22.725227353919763
27,212.20127170695923,46.123621942067984,9.357433556811884
28,281.6377972663613,218.5521918227896,3.8562306669191457
29,208.26703871652717,120.6182168154046,28.252522689756006
