,NEAT,SGA,SLM (OLS)
0,2,27,1280
1,2,11,5510
2,26,27,4647
3,2,111,11200
4,8,11,7996
5,2,21,1223
6,10,11,10945
7,2,21,6967
8,2,111,2057
9,2,27,7248
10,43,111,7090
11,2,111,10869
12,14,11,225
13,2,27,4111
14,2,21,2633
15,10,55,10633
16,2,21,17091
17,24,27,10864
18,8,55,11704
19,2,21,1353
20,2,27,7032
21,38,21,10519
22,19,55,18488
23,9,55,15544
24,8,27,1391
25,2,111,2893
26,2,21,6676
27,2,21,1006
28,16,111,402
29,2,55,10857
